;;;;;;;;;;;;;;x,,,
colonial_company;Colonial Company;;;;;;;;;x;;;;;;;;
subject;Autonomous Territory;;;;;;;;;x;;;;;;;;
subject_ruler;My Lord;;;;;;;;;;;;x
provisional_state;Republic;;;;;;;;;x;;;;;;;;
provisional_state_ruler;My President;;;;;;;;;;;;x
ancient_regime;Absolute Monarchy;;;;;;;;;x;;;;;;;;
ancient_regime_ruler;My King;;;;;;;;;x;;;;;;;;
military_order;Military Order;;;;;;;;;x;;;;;;;;
military_order_ruler;Grand Master;;;;;;;;;;;;x
primitive_absolute_monarchy;Absolute Monarchy;;;;;;;;;;;;x
primitive_absolute_monarchy_ruler;My King;;;;;;;;;;;;x
elective_monarchy;Elective Monarchy;;;;;;;;;;;;x
elective_monarchy_ruler;My King;;;;;;;;;;;;x
communal_republic;Canton;;;;;;;;;;;;x
communal_republic_ruler;My Chancellor;;;;;;;;;;;;x
